CircleName,RegionName,DivisionName,PinCodeName,Pincode,OfficeType,Delivery,District,StateName,Statecode,Latitude,Longitude
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Peddakotla B.O,515631,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.5689,77.85624
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Pinnadhari B.O,515631,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.5281,77.857014
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Yerraguntapalle B.O,515631,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.561111,77.85715
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Sahjatpur BO,812005,BO,Delivery,BHAGALPUR,BIHAR,BR,25.21607,86.946762
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Bharakhand Naybas BO,853203,BO,Delivery,BHAGALPUR,BIHAR,BR,25.4067,6.8052
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Nagarpara BO,853203,BO,Delivery,BHAGALPUR,BIHAR,BR,25.4137352,86.8797372
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Raipur BO,853203,BO,Delivery,BHAGALPUR,BIHAR,BR,25.4234256,86.8483
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Sathishnagar BO,853203,BO,Delivery,BHAGALPUR,BIHAR,BR,25.404242,86.8226179
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Dariapur BO,812006,BO,Delivery,BHAGALPUR,BIHAR,BR,24.222,86.365
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Haridaspur BO,812006,BO,Delivery,BHAGALPUR,BIHAR,BR,25.369,86.356
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Sajour BO,812006,BO,Delivery,BHAGALPUR,BIHAR,BR,25.365,85.366
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Bhowadeorhi BO,853204,BO,Delivery,MADHEPURA,BIHAR,BR,25.2153,86.9362
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Dharahara BO,853204,BO,Delivery,BHAGALPUR,BIHAR,BR,25.2564,86.4022
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Dimaha BO,853204,BO,Delivery,BHAGALPUR,BIHAR,BR,25.32116,87.1572
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Khairpurkadwa BO,853204,BO,Delivery,BHAGALPUR,BIHAR,BR,25.4685,87.0589
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Latra BO,853204,BO,Delivery,BHAGALPUR,BIHAR,BR,25.366,84.369
